【央视频道】,#genre#
CCTV11,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=00000250001B50800001B401420BC069
CCTV11,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD
CCTV11,https://live.metshop.top/bestv.php?id=cctv11hd8m/8000000
CCTV12,http://111.20.33.70/PLTV/88888893/224/3221226190/index.m3u8
CCTV12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226748/1.m3u8
CCTV12,http://221.0.78.198:1681/hls/10212/index.m3u8
CCTV12,http://221.2.36.34:8888/newlive/live/hls/14/live.m3u8
CCTV12,http://222.240.82.92:9901/tsfile/live/0012_1.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV12,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=5325631075193490169&livemode=1&stbId=00000250001B50800001B401420BC069
CCTV12,http://hms204nc1972679577.live.aikan.miguvideo.com/wh7f454c46tw1174495643_-1245391177/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=59.49.185.88&timestamp=20230311020243&ContentId=265667607&timezone=UTC&mtv_session=7581c6271c0379b8ca8b268ff7804765&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3906a8574a42ff13aba3e255be4cd8e3
CCTV12,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD
CCTV12,https://live.metshop.top/bestv.php?id=cctv12hd8m/8000000
CCTV13,http://111.20.33.70/PLTV/88888893/224/3221226233/index.m3u8
CCTV13,http://221.0.78.198:1681/hls/10213/index.m3u8
CCTV13,http://221.2.36.34:8888/newlive/live/hls/15/live.m3u8
CCTV13,http://222.240.82.92:9901/tsfile/live/0013_1.m3u8
CCTV13,http://223.95.111.98:5555/newlive/live/hls/13/live.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV13,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=00000250001B50800001B401420BC069
CCTV13,http://hms184nc1972679575.live.aikan.miguvideo.com/wh7f454c46tw946205927_-649996709/envivo_x/2018/SD/cctv13/2000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208132705&ContentId=265667474&timezone=UTC&mtv_session=36bf599c0c4bc785fd46aaf0ba40ffe7&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=91a8a1c4652526079a5b0e294d5bc18d
CCTV13,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV13,https://live.goodiptv.club/api/cqyx.php?id=cctv13HD
CCTV13,https://live.metshop.top/bestv.php?id=cctv13xwhd8m/8000000
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV14,http://111.20.33.70/PLTV/88888893/224/3221226193/index.m3u8
CCTV14,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226663/1.m3u8
CCTV14,http://221.0.78.198:1681/hls/10214/index.m3u8
CCTV14,http://221.2.36.34:8888/newlive/live/hls/16/live.m3u8
CCTV14,http://222.240.82.92:9901/tsfile/live/0014_1.m3u8
CCTV14,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV14,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=8203666801302077036&livemode=1&stbId=00000250001B50800001B401420BC069
