[央视频道],#genre#
吉林卫视,http://221.205.186.181:5555/rtp/226.0.2.58:8376
吉林卫视,http://118.81.49.15:8084/rtp/226.0.2.58:8376
吉林卫视,http://171.117.142.71:8082/rtp/226.0.2.58:8376
吉林卫视,http://118.112.192.158:4022/udp/239.93.0.248:5140
吉林卫视,http://110.191.246.220:8888/udp/239.93.0.248:5140
四川卫视,http://118.81.49.15:8084/rtp/226.0.2.179:9344
四川卫视,http://171.117.142.71:8082/rtp/226.0.2.179:9344
四川卫视,http://110.191.246.220:8888/udp/239.93.0.20:1235
四川卫视,http://118.112.192.158:4022/udp/239.93.0.20:1235
四川卫视,http://221.205.186.181:5555/rtp/226.0.2.179:9344
四川卫视,http://116.232.128.210:8888/udp/239.45.1.83:5140
四川卫视,http://125.123.138.149:58888/rtp/233.50.201.139:5140
四川康巴卫视,http://118.112.192.158:4022/udp/239.93.0.41:5140
四川康巴卫视,http://110.191.246.220:8888/udp/239.93.0.41:5140
天津卫视,http://171.117.142.71:8082/rtp/226.0.2.148:9096
天津卫视,http://118.81.49.15:8084/rtp/226.0.2.148:9096
天津卫视,http://221.205.186.181:5555/rtp/226.0.2.148:9096
天津卫视,http://110.191.246.220:8888/udp/239.93.0.167:5140
天津卫视,http://118.112.192.158:4022/udp/239.93.0.167:5140
天津卫视,http://111.192.169.51:8888/rtp/239.3.1.141:1234
天津卫视,http://125.123.138.149:58888/rtp/233.50.201.104:5140
天津卫视,http://116.232.128.210:8888/udp/239.45.1.124:5140
安徽卫视,http://221.205.186.181:5555/rtp/226.0.2.145:9072
安徽卫视,http://118.81.49.15:8084/rtp/226.0.2.145:9072
安徽卫视,http://171.117.142.71:8082/rtp/226.0.2.145:9072
安徽卫视,http://110.191.246.220:8888/udp/239.93.1.106:5140
安徽卫视,http://111.192.169.51:8888/rtp/239.3.1.211:8064
安徽卫视,http://116.232.128.210:8888/udp/239.45.1.120:5140
安徽卫视,http://118.112.192.158:4022/udp/239.93.1.106:5140
安徽卫视,http://125.123.138.149:58888/rtp/233.50.201.113:5140
山东卫视,http://118.81.49.15:8084/rtp/226.0.2.149:9104
山东卫视,http://171.117.142.71:8082/rtp/226.0.2.149:9104
山东卫视,http://221.205.186.181:5555/rtp/226.0.2.149:9104
山东卫视,http://118.112.192.158:4022/udp/239.93.0.168:5140
山东卫视,http://110.191.246.220:8888/udp/239.93.0.168:5140
山东卫视,http://111.192.169.51:8888/rtp/239.3.1.209:8052
山东卫视,http://116.232.128.210:8888/udp/239.45.3.238:5140
山东卫视,http://125.123.138.149:58888/rtp/233.50.201.105:5140
山西卫视,http://221.205.186.181:5555/rtp/226.0.2.152:9128
山西卫视,http://118.81.49.15:8084/rtp/226.0.2.152:9128
山西卫视,http://171.117.142.71:8082/rtp/226.0.2.152:9128
广东卫视,http://118.81.49.15:8084/rtp/226.0.2.146:9080
广东卫视,http://171.117.142.71:8082/rtp/226.0.2.146:9080
广东卫视,http://221.205.186.181:5555/rtp/226.0.2.146:9080
广东卫视,http://118.112.192.158:4022/udp/239.93.0.181:5140
广东卫视,http://110.191.246.220:8888/udp/239.93.0.181:5140
广东卫视,http://111.192.169.51:8888/rtp/239.3.1.142:8048
广东卫视,http://125.123.138.149:58888/rtp/233.50.201.102:5140
广东卫视,http://116.232.128.210:8888/udp/239.45.3.230:5140
广西卫视,http://118.81.49.15:8084/rtp/226.0.2.231:9760
广西卫视,http://118.112.192.158:4022/udp/239.93.42.46:5140
广西卫视,http://221.205.186.181:5555/rtp/226.0.2.231:9760
广西卫视,http://171.117.142.71:8082/rtp/226.0.2.231:9760
广西卫视,http://110.191.246.220:8888/udp/239.93.42.46:5140
江苏卫视,http://118.81.49.15:8084/rtp/226.0.2.176:9320
江苏卫视,http://171.117.142.71:8082/rtp/226.0.2.176:9320
江苏卫视,http://221.205.186.181:5555/rtp/226.0.2.176:9320
江苏卫视,http://125.123.138.149:58888/rtp/233.50.201.106:5140
江苏卫视,http://118.112.192.158:4022/udp/239.93.0.89:5140
江苏卫视,http://110.191.246.220:8888/udp/239.93.0.89:5140
江苏卫视,http://111.192.169.51:8888/rtp/239.3.1.135:8028
江西卫视,http://118.81.49.15:8084/rtp/226.0.2.54:8344
江西卫视,http://221.205.186.181:5555/rtp/226.0.2.54:8344
江西卫视,http://171.117.142.71:8082/rtp/226.0.2.54:8344
江西卫视,http://125.123.138.149:58888/rtp/233.50.201.145:5140
江西卫视,http://111.192.169.51:8888/rtp/239.3.1.123:8164
江西卫视,http://110.191.246.220:8888/udp/239.93.0.134:5140
江西卫视,http://118.112.192.158:4022/udp/239.93.0.134:5140
江西卫视,http://116.232.128.210:8888/udp/239.45.1.122:5140
河北卫视,http://221.205.186.181:5555/rtp/226.0.2.178:9336
河北卫视,http://118.81.49.15:8084/rtp/226.0.2.178:9336
河北卫视,http://171.117.142.71:8082/rtp/226.0.2.178:9336
河北卫视,http://118.112.192.158:4022/udp/239.93.0.132:5140
河北卫视,http://116.232.128.210:8888/udp/239.45.1.44:5140
河北卫视,http://111.192.169.51:8888/rtp/239.3.1.148:8072
河北卫视,http://110.191.246.220:8888/udp/239.93.0.132:5140
河北卫视,http://125.123.138.149:58888/rtp/233.50.201.140:5140
河南卫视,http://110.191.246.220:8888/udp/239.93.42.45:5140
河南卫视,http://171.117.142.71:8082/rtp/226.0.2.52:8328
河南卫视,http://118.81.49.15:8084/rtp/226.0.2.52:8328
河南卫视,http://118.112.192.158:4022/udp/239.93.42.45:5140
河南卫视,http://221.205.186.181:5555/rtp/226.0.2.52:8328
河南卫视,http://125.123.138.149:58888/rtp/233.50.201.144:5140
凤凰中文,http://110.191.246.220:8888/udp/239.93.0.162:2192
凤凰资讯,http://110.191.246.220:8888/udp/239.93.0.118:2191
浙江卫视,http://171.117.142.71:8082/rtp/226.0.2.144:9064
浙江卫视,http://118.81.49.15:8084/rtp/226.0.2.144:9064
浙江卫视,http://221.205.186.181:5555/rtp/226.0.2.144:9064
浙江卫视,http://111.192.169.51:8888/rtp/239.3.1.137:8036
浙江卫视,http://110.191.246.220:8888/udp/239.93.0.124:5140
浙江卫视,http://118.112.192.158:4022/udp/239.93.0.124:5140
浙江卫视,http://116.232.128.210:8888/udp/239.45.3.178:5140
浙江卫视,http://125.123.138.149:58888/rtp/233.50.201.100:5140
海南卫视,http://118.81.49.15:8084/rtp/226.0.2.212:9608
海南卫视,http://221.205.186.181:5555/rtp/226.0.2.212:9608
海南卫视,http://171.117.142.71:8082/rtp/226.0.2.212:9608
海南卫视,http://116.232.128.210:8888/udp/239.45.1.81:5140
深圳卫视,http://171.117.142.71:8082/rtp/226.0.2.147:9088
深圳卫视,http://118.81.49.15:8084/rtp/226.0.2.147:9088
深圳卫视,http://221.205.186.181:5555/rtp/226.0.2.147:9088
深圳卫视,http://118.112.192.158:4022/udp/239.93.0.182:5140
深圳卫视,http://110.191.246.220:8888/udp/239.93.0.182:5140
深圳卫视,http://111.192.169.51:8888/rtp/239.3.1.134:8020
深圳卫视,http://116.232.128.210:8888/udp/239.45.3.231:5140
深圳卫视,http://125.123.138.149:58888/rtp/233.50.201.101:5140
湖北卫视,http://118.81.49.15:8084/rtp/226.0.2.150:9112
湖北卫视,http://171.117.142.71:8082/rtp/226.0.2.150:9112
湖北卫视,http://221.205.186.181:5555/rtp/226.0.2.150:9112
湖北卫视,http://110.191.246.220:8888/udp/239.93.0.250:5140
湖北卫视,http://111.192.169.51:8888/rtp/239.3.1.138:8044
湖北卫视,http://118.112.192.158:4022/udp/239.93.0.250:5140
湖北卫视,http://116.232.128.210:8888/udp/239.45.3.239:5140
湖北卫视,http://125.123.138.149:58888/rtp/233.50.201.114:5140
湖南卫视,http://171.117.142.71:8082/rtp/226.0.2.143:9056
